Place,Latitude,Longitude,Weight,Team,Content,Comments,Related,Type,Negative,Postive,Neutral,Topographical features,Topographical features (general)
Norway,61.000000,8.000000,2,Negative,"""Thus Satan talking to his nearest mate
With head up-lift above the wave, and eyes
That sparkling blazed, his other parts besides
Prone on the flood, extended long and large
Lay floating many a rood, in bulk as huge
As whom the fables name of monstrous size,
Titanian, or Earth-born, that war’s on Jove,
Briareos or Typhon, whom the Den
By ancient Tarsus held, or that sea-beast
Leviathan, which God of all his works
Created hugest that swim the Ocean stream:
Him haply slumbering on the Norway foam
The Pilot of some small night-foundered skiff,
Deeming some island, oft, as sea-men tell,
With fixed anchor in his scaly rind
Moors by his side under the lee, while night
Invests the sea, and wished morn delays:
So stretched out huge in length the Arch-fiend lay
Chained on the burning lake"" (1.192-210) [negative]/ ""His Spear, to equal which the tallest pine
Hewn on Norwegian hills, to be the mast
Of some great admiral, were but a wand,
He walked with to support uneasy steps
Over the burning marle"" (1.292-296) [negative]",Associated through simile with the burning lake to which Satan was chained. / Habitat of pines connected by simile to Satan's spear.,three,,2,0,0,water; hill,water; hill
Etna,37.755000,14.995000,1,Negative,"""Then with expanded wings he [Satan] steers his flight
Aloft, incumbent on the dusky air
That felt unusual weight, till on dry Land
He lights, if it were land that ever burned
With solid, as the lake with liquid fire;
And such appeared in hue, as when the force
Of subterranean wind transports a hill
Torn from Pelorus, or the shattered side
Of thundering Aetna, whose combustible
And fueled entrails thence conceiving fire,
Sublimed with mineral fury, aid the winds,
And leave a singed bottom all involved
With stench and smoke: Such resting found the sole
Of unblest feet."" (1.225-238) [negative]","Mount Etna, an active stratovolcano. Assosiated with ground on which fallen angels stand on in Hell.",four,,1,0,0,mountain,mountain
Vallombrosa,43.731944,11.557778,1,Negative,"""Nathless he [Satan] so endured, till on the beach
Of that inflamed sea, he stood and called
His Legions, angel forms, who lay entranced
Thick as autumnal leaves that strew the brooks
In Vallombrosa, where the Etrurian shades
High overarched embower"" (1.299-304) [negative]","Tuscan valley. ""Shades"" connects foliage and the inhabitants of Hell (Satan's followers).",six,,1,0,0,valley,region
Nile,30.166667,31.100000,4,Neutral,"""They heard, and were abashed, and up they sprung
Upon the wing, as when men wont to watch
On duty, sleeping found by whom they dread,
Rouse and bestir themselves ere well awake.
Nor did they not perceive the evil plight
In which they were, or the fierce pains not feel;
Yet to their general’s voice they soon obeyed
Innumerable. As when the potent rod
Of Amrams son in Egypt’s evil day
Waved round the coast, up called a pitchy cloud
Of locusts, warping on the eastern wind,
That ore the realm of impious Pharaoh hung
Like night, and darkened all the land of Nile:
So numberless were those bad angels seen
Hovering on wing under the cope of Hell
edwixt upper, nether, and surrounding fires"" (1.331-346) [negative]; ""Peor his other name, when he enticed
Israel in Sittim on their march from Nile
To do him wanton rites, which cost them woe."" (1.412-414) [neutral]; ""In a dark age, against example good,
Against allurement, custom, and a world
Offended: fearless of reproach and scorn,
The grand-child, with twelve sons increased, departs
From Canaan, to a land hereafter called
Egypt, divided by the river Nile;
See where it flows, disgorging at seven mouths
Into the sea"" (11.809-11.816) [neutral]; "" This patriarch blest,
Whom faithful Abraham due time shall call,
A son, and of his son a grand-child, leaves;
Like him in faith, in wisdom, and renown:
The grandchild, with twelve sons increased, departs
From Canaan to a land hereafter called
Egypt, divided by the river Nile
See where it flows, disgorging at seven mouths
Into the sea."" (12.151-159) [neutral]",Site of locusts sent by Moses to afflict Egypt. / Part of Michael's account of Biblical generations,nine,B,1,0,3,region; region; river; river,river
Rhene,51.981667,4.080556,1,Negative,"""Waved round the coast, up called a pitchy cloud
Of locusts, warping on the eastern wind,
That ore the realm of impious Pharaoh hung
Like night, and darkened all the land of Nile:
So numberless were those bad angels seen
Hovering on wing under the cope of Hell
edwixt upper, nether, and surrounding fires;
Till, as a signal given, the uplifted spear
Of their great sultan waving to direct
Their course, in even balance down they light
On the firm brimstone, and fill all the plain;
A multitude, like which the populous north
Poured never from her frozen loins, to pass
Rhene or the Danaw, when her barbarous sons
Came like a deluge on the south, and spread
Beneath Gibraltar to the Libyan sands."" (1.340-355) [negative]","River invoked in simile comparing fallen angels to tribes (Goths, Huns, Vandals) that attacked the Roman Empire from the third to fifth centuries, which they uncountably outnumber.",ten,,1,0,0,region,region
Danaw,45.217500,29.761389,1,Negative,"""Waved round the coast, up called a pitchy cloud
Of locusts, warping on the eastern wind,
That ore the realm of impious Pharaoh hung
Like night, and darkened all the land of Nile:
So numberless were those bad angels seen
Hovering on wing under the cope of Hell
edwixt upper, nether, and surrounding fires;
Till, as a signal given, the uplifted spear
Of their great sultan waving to direct
Their course, in even balance down they light
On the firm brimstone, and fill all the plain;
A multitude, like which the populous north
Poured never from her frozen loins, to pass
Rhene or the Danaw, when her barbarous sons
Came like a deluge on the south, and spread
Beneath Gibraltar to the Libyan sands."" (1.340-355) [negative]","River invoked in simile comparing fallen angels to tribes (Goths, Huns, Vandals) that attacked the Roman Empire from the third to fifth centuries, which they uncountably outnumber.",ten,,1,0,0,region,region
Rabba,31.266667,35.733333,1,Negative,"""First Moloch, horrid king besmeared with blood
Of human sacrifice, and parents tears,
Though for the noise of drums and timbrels loud
Their children’s cries unheard, that past through fire
To his grim idol. Him the Ammonite
Worshipped in Rabba and her watery plain,
In Argob and in Basan, to the stream
Of utmost Arnon. Nor content with such
Audacious neighborhood, the wisest heart
Of Solomon he led by fraud to build
His temple right against the temple of God
On that opprobrious hill, and made his grove
The pleasant Valley of Hinnom, Tophet thence
And black Gehenna called, the type of Hell."" (1.392-405) [negative]","Associated with idol worship, as of Moloch, ""besmeared with blood / Of human sacrifice.""",eleven,,1,0,0,region,region
Argob,32.969500,36.455383,1,Negative,"""First Moloch, horrid king besmeared with blood
Of human sacrifice, and parents tears,
Though for the noise of drums and timbrels loud
Their children’s cries unheard, that past through fire
To his grim idol. Him the Ammonite
Worshipped in Rabba and her watery plain,
In Argob and in Basan, to the stream
Of utmost Arnon. Nor content with such
Audacious neighborhood, the wisest heart
Of Solomon he led by fraud to build
His temple right against the temple of God
On that opprobrious hill, and made his grove
The pleasant Valley of Hinnom, Tophet thence
And black Gehenna called, the type of Hell."" (1.392-405) [negative]","Associated with idol worship, as of Moloch, ""besmeared with blood / Of human sacrifice.""",eleven,,1,0,0,region,region
Basan,32.500000,35.500000,1,Negative,"""First Moloch, horrid king besmeared with blood
Of human sacrifice, and parents tears,
Though for the noise of drums and timbrels loud
Their children’s cries unheard, that past through fire
To his grim idol. Him the Ammonite
Worshipped in Rabba and her watery plain,
In Argob and in Basan, to the stream
Of utmost Arnon. Nor content with such
Audacious neighborhood, the wisest heart
Of Solomon he led by fraud to build
His temple right against the temple of God
On that opprobrious hill, and made his grove
The pleasant Valley of Hinnom, Tophet thence
And black Gehenna called, the type of Hell."" (1.392-405) [negative]","Associated with idol worship, as of Moloch, ""besmeared with blood / Of human sacrifice.""",eleven,,1,0,0,region,region
Arnon,31.465833,35.573333,1,Negative,"""First Moloch, horrid king besmeared with blood
Of human sacrifice, and parents tears,
Though for the noise of drums and timbrels loud
Their children’s cries unheard, that past through fire
To his grim idol. Him the Ammonite
Worshipped in Rabba and her watery plain,
In Argob and in Basan, to the stream
Of utmost Arnon. Nor content with such
Audacious neighborhood, the wisest heart
Of Solomon he led by fraud to build
His temple right against the temple of God
On that opprobrious hill, and made his grove
The pleasant Valley of Hinnom, Tophet thence
And black Gehenna called, the type of Hell."" (1.392-405) [negative]","Associated with idol worship, as of Moloch, ""besmeared with blood / Of human sacrifice.""",eleven,,1,0,0,region,region
